Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match URLs
U.A.E.,Afghanistan,U.A.E.,11 runs,Sharjah,"Dec 31, 2023",T20I # 2426,https://www.espncricinfo.com/series/afghanistan-in-united-arab-emirates-2023-24-1412545/united-arab-emirates-vs-afghanistan-2nd-t20i-1412550/full-scorecard
New Zealand,Bangladesh,New Zealand,17 runs,Mount Maunganui,"Dec 31, 2023",T20I # 2425,https://www.espncricinfo.com/series/bangladesh-in-new-zealand-2023-24-1388181/new-zealand-vs-bangladesh-3rd-t20i-1388215/full-scorecard
U.A.E.,Afghanistan,Afghanistan,72 runs,Sharjah,"Dec 29, 2023",T20I # 2424,https://www.espncricinfo.com/series/afghanistan-in-united-arab-emirates-2023-24-1412545/united-arab-emirates-vs-afghanistan-1st-t20i-1412549/full-scorecard
New Zealand,Bangladesh,no result,-,Mount Maunganui,"Dec 29, 2023",T20I # 2423,https://www.espncricinfo.com/series/bangladesh-in-new-zealand-2023-24-1388181/new-zealand-vs-bangladesh-2nd-t20i-1388214/full-scorecard
New Zealand,Bangladesh,Bangladesh,5 wickets,Napier,"Dec 27, 2023",T20I # 2422,https://www.espncricinfo.com/series/bangladesh-in-new-zealand-2023-24-1388181/new-zealand-vs-bangladesh-1st-t20i-1388213/full-scorecard
Indonesia,Philippines,Philippines,7 wickets,Bali,"Dec 26, 2023",T20I # 2421,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-6th-t20i-1412535/full-scorecard
Indonesia,Philippines,tied,-,Bali,"Dec 24, 2023",T20I # 2420,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-5th-t20i-1412534/full-scorecard
Indonesia,Philippines,Philippines,8 wickets,Bali,"Dec 24, 2023",T20I # 2419,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-4th-t20i-1412533/full-scorecard
Indonesia,Philippines,Indonesia,20 runs,Bali,"Dec 23, 2023",T20I # 2418,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-3rd-t20i-1412532/full-scorecard
Indonesia,Philippines,Indonesia,10 wickets,Bali,"Dec 23, 2023",T20I # 2417,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-2nd-t20i-1412531/full-scorecard
Indonesia,Philippines,Philippines,2 runs,Bali,"Dec 22, 2023",T20I # 2416,https://www.espncricinfo.com/series/philippines-in-indonesia-2023-24-1412521/indonesia-vs-philippines-1st-t20i-1412530/full-scorecard
West Indies,England,West Indies,4 wickets,Tarouba,"Dec 21, 2023",T20I # 2415,https://www.espncricinfo.com/series/england-tour-of-west-indies-2023-24-1373558/west-indies-vs-england-5th-t20i-1373583/full-scorecard
West Indies,England,England,75 runs,Tarouba,"Dec 19, 2023",T20I # 2414,https://www.espncricinfo.com/series/england-tour-of-west-indies-2023-24-1373558/west-indies-vs-england-4th-t20i-1373582/full-scorecard
Kenya,Uganda,Uganda,91 runs,Benoni,"Dec 19, 2023",T20I # 2413,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/kenya-vs-uganda-final-1412226/full-scorecard
Botswana,Malawi,Botswana,3 wickets,Benoni,"Dec 19, 2023",T20I # 2412,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/botswana-vs-malawi-3rd-place-play-off-1412225/full-scorecard
Kenya,Malawi,Kenya,4 runs,Benoni,"Dec 18, 2023",T20I # 2411,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/kenya-vs-malawi-2nd-semi-final-1412224/full-scorecard
Botswana,Uganda,Uganda,10 wickets,Benoni,"Dec 18, 2023",T20I # 2410,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/botswana-vs-uganda-1st-semi-final-1412223/full-scorecard
Ghana,Sierra Leone,Ghana,2 wickets,Benoni,"Dec 17, 2023",T20I # 2409,https://www.espncricinfo.com/series/africa-cricket-association-cup-2023-24-1412206/ghana-vs-sierra-leone-12th-match-group-b-1412222/full-scorecard
